sucursala,numar_comanda
Brasov,2059726
Brasov,2059760
Brasov,2059795
Brasov,2059819
Brasov,2059825
Brasov,2059871
Brasov,2059882
Brasov,2059889
Brasov,2059920
Brasov,2059992
Brasov,2060007
Brasov,2060037
Brasov,2060101
Brasov,2060248
Brasov,2060335
Brasov,2060336
Brasov,2060428
Brasov,2060510
Brasov,2060575
Brasov,2060589
Brasov,2060631
Brasov,2060728
Brasov,2060791
Brasov,2060817
Brasov,2060876
Brasov,2060957
Brasov,2061026
Brasov,2061035
Brasov,2061064
Brasov,2061142
Brasov,2061212
Brasov,2061344
Brasov,2061353
Brasov,2061383
Brasov,2061396
Brasov,2061470
Brasov,2061535
Brasov,2061548
Brasov,2061563
Brasov,2061580
Brasov,2061701
Brasov,2061730
Brasov,2061733
Brasov,2061853
Brasov,2061860
Brasov,2061880
Brasov,2061911
Brasov,2061936
Brasov,2061988
Brasov,2062012
Brasov,2062083
Brasov,2062166
Brasov,2062179
Brasov,2062241
Brasov,2062268
Brasov,2062274
Brasov,2062311
Brasov,2062329
Brasov,2062362
Brasov,2062378
Brasov,2062386
Brasov,2062486
Brasov,2062593
Brasov,2062606
Brasov,2062730
Brasov,2062765
Brasov,2062794
Brasov,2063052
Brasov,2063083
Brasov,2063158
Brasov,2063174
Brasov,2063217
Brasov,2063316
Brasov,2063324
Brasov,2063347
Brasov,2063368
Brasov,2063479
Brasov,2063526
Brasov,2063529
Brasov,2063538
Brasov,2063558
Brasov,2063570
Brasov,2063605
Brasov,2063685
Brasov,2063717
Brasov,2063739
Brasov,2063910
Brasov,2064038
Brasov,2064105
Brasov,2064108
Brasov,2064222
Brasov,2064224
Brasov,2064238
Brasov,2064319
Brasov,2064322
Brasov,2064331
Brasov,2064689
Brasov,2064708
Brasov,2064768
Brasov,2064804
Brasov,2064843
Brasov,2064875
Brasov,2064895
Brasov,2064915
Brasov,2064956
Brasov,2064994
Brasov,2064997
Brasov,2065073
Brasov,2065107
Brasov,2065117
Brasov,2065140
Brasov,2065307
Brasov,2065341
Brasov,2065353
Brasov,2065361
Brasov,2065375
Brasov,2065379
Brasov,2065537
Brasov,2065589
Brasov,2065669
Brasov,2065710
Brasov,2065816
Brasov,2065844
Brasov,2065855
Brasov,2065919
Brasov,2065950
Brasov,2066050
Brasov,2066075
Brasov,2066082
Brasov,2066106
Brasov,2066113
Brasov,2066133
Brasov,2066138
Brasov,2066153
Brasov,2066225
Brasov,2066243
Brasov,2066303
