numar_factura,data
2410002673,1/17/2024
2410002679,1/17/2024
2410002686,1/17/2024
2410002705,1/17/2024
2410002706,1/17/2024
2410002707,1/17/2024
2410002709,1/17/2024
2410002712,1/18/2024
2410002714,1/18/2024
2410002715,1/18/2024
2410002726,1/18/2024
2410002728,1/18/2024
2410002747,1/18/2024
2410002752,1/18/2024
2410002757,1/18/2024
2410002758,1/18/2024
2410002761,1/18/2024
2410002762,1/18/2024
2410002763,1/18/2024
2410002772,1/18/2024
2410002794,1/18/2024
2410002802,1/18/2024
2410002804,1/18/2024
2410002805,1/18/2024
2410002806,1/18/2024
2410002808,1/18/2024
2410002813,1/18/2024
2410002817,1/18/2024
2410002826,1/18/2024
2410002829,1/18/2024
2410002830,1/18/2024
2410002834,1/18/2024
2410002835,1/18/2024
2410002843,1/18/2024
2410002850,1/18/2024
2410002861,1/18/2024
2410002869,1/18/2024
2410002871,1/18/2024
2410002877,1/18/2024
2410002885,1/18/2024
2410002886,1/18/2024
2410002895,1/18/2024
2410002898,1/18/2024
2410002901,1/18/2024
2410002922,1/18/2024
2410002925,1/18/2024
2410002937,1/18/2024
2410002938,1/18/2024
2410002948,1/18/2024
2410002965,1/18/2024
2410002986,1/18/2024
2410002988,1/18/2024
2410002997,1/18/2024
2410003005,1/18/2024
2410003007,1/18/2024
2410003008,1/18/2024
2410003009,1/18/2024
2410003015,1/19/2024
2410003019,1/19/2024
2410003026,1/19/2024
2410003039,1/19/2024
2410003058,1/19/2024
2410003067,1/19/2024
2410003069,1/19/2024
2410003084,1/19/2024
2410003104,1/19/2024
2410003113,1/19/2024
2410003116,1/19/2024
2410003133,1/19/2024
2410003134,1/19/2024
2410003148,1/19/2024
2410003158,1/19/2024
2410003159,1/19/2024
2410003160,1/19/2024
2410003166,1/19/2024
2410003170,1/19/2024
2410003174,1/19/2024
2410003177,1/19/2024
2410003178,1/19/2024
2410003194,1/19/2024
2410003196,1/19/2024
2410003199,1/19/2024
2410003206,1/19/2024
2410003210,1/19/2024
2410003211,1/19/2024
2410003212,1/19/2024
2410003219,1/19/2024
2410003223,1/19/2024
2410003225,1/19/2024
2410003234,1/19/2024
2410003243,1/19/2024
2410003250,1/19/2024
2410003251,1/19/2024
2410003254,1/19/2024
2410003259,1/19/2024
2410003260,1/19/2024
2410003263,1/19/2024
2410003265,1/19/2024
2410003269,1/19/2024
2410003278,1/19/2024
2410003284,1/20/2024
2410003291,1/22/2024
2410003302,1/22/2024
2410003308,1/22/2024
2410003312,1/22/2024
2410003314,1/22/2024
2410003316,1/22/2024
2410003325,1/22/2024
2410003330,1/22/2024
2410003333,1/22/2024
2410003334,1/22/2024
2410003336,1/22/2024
2410003340,1/22/2024
2410003341,1/22/2024
2410003347,1/22/2024
2410003354,1/22/2024
2410003355,1/22/2024
2410003356,1/22/2024
2410003373,1/22/2024
2410003375,1/22/2024
2410003387,1/22/2024
2410003396,1/22/2024
2410003402,1/22/2024
2410003409,1/22/2024
2410003411,1/22/2024
2410003417,1/22/2024
2410003419,1/22/2024
2410003423,1/22/2024
2410003426,1/22/2024
2410003427,1/22/2024
2410003428,1/22/2024
2410003429,1/22/2024
2410003437,1/22/2024
2410003446,1/22/2024
