numar_factura,numar_comanda,cod_articol,id_cantitate
2410000770,2036529,8686,1||2036529||1||7
2410000770,2036529,1200135,1||2036529||1||8
2410000772,2040881,1248939,1||2040881||1||1
2410000778,2041040,2226345,1||2041040||1||2
2410000778,2041040,2246328,1||2041040||1||1
2410000782,2041108,2245434,1||2041108||1||1
2410000786,2040655,1011164,1||2040655||1||1
2410000793,2041066,2289496,1||2041066||1||2
2410000793,2041066,2541017,1||2041066||1||1
2410000793,2041066,4986623,1||2041066||1||3
2410000802,2041114,78112,1||2041114||1||1
2410000805,2041093,1016937,1||2041093||2||1
2410000810,2040065,1949030,1||2040065||1||1
2410000821,2041081,14171,1||2041081||1||1
2410000824,2041243,5616979,1||2041243||2||1
2410000825,2041203,1208310,1||2041203||1||1
2410000831,2038727,5189,1||2038727||2||3
2410000833,1937489,3787325,1||1937489||2||1
2410000835,2041261,1727553,1||2041261||1||1
2410000840,2041315,2252889,1||2041315||1||1
2410000844,2041303,2563889,1||2041303||1||1
2410000847,2039350,2349432,1||2039350||1||1
2410000855,2040301,2574540,1||2040301||1||4
2410000855,2040301,3108862,1||2040301||1||5
2410000855,2040301,3224781,1||2040301||1||1
2410000868,2040956,2830917,1||2040956||1||2
2410000869,2041427,1010716,1||2041427||1||10
2410000869,2041427,1588739,1||2041427||1||6
2410000869,2041427,1588740,1||2041427||1||7
2410000869,2041427,1599446,1||2041427||1||8
2410000869,2041427,2228249,1||2041427||1||5
2410000869,2041427,2255500,1||2041427||1||9
2410000869,2041427,2830434,1||2041427||1||4
2410000869,2041427,3102297,1||2041427||1||3
2410000869,2041427,3144379,1||2041427||1||1
2410000869,2041427,4991940,1||2041427||1||2
2410000870,2040624,4757049,1||2040624||1||4
2410000870,2040624,4757050,1||2040624||1||5
2410000871,2041148,23707,1||2041148||1||1
2410000871,2041148,861980,1||2041148||1||2
2410000871,2041148,863440,1||2041148||1||3
2410000872,2041076,5020836,1||2041076||1||1
2410000888,2041400,1612523,1||2041400||2||10
2410000888,2041400,1612584,1||2041400||2||2
2410000888,2041400,2091612,1||2041400||2||4
2410000889,2041488,4896017,1||2041488||2||1
2410000889,2041488,4985159,1||2041488||2||2
2410000896,2041602,711037,1||2041602||1||1
2410000896,2041602,2224090,1||2041602||1||2
2410000901,2041664,1020799,1||2041664||1||1
